Satisfaction Score,Complaints Raised,Complaints Resolved,Complaint Resolution Ratio,Resolution Time (hours),Feedback Sentiment,Revenue Generated (USD),Service Renewal Likelihood (%),Client Communication Rating,Past Renewals,Churn Risk
10,0.515852874527118,1.172623003534895,0.9814921490695572,-1.3027460668547297,2,-1.1607559692686373,1.6213246654604567,-1.2324321995776923,0.31900385325402564,2
1,1.5914426879698165,0.8972300952364226,0.029164564516954372,-1.597151957669358,2,1.2155430356894126,1.485683013535379,0.9065881063135874,0.31900385325402564,1
2,-0.9899728642926596,-0.4797344462559387,0.6005611152485159,-1.744354903076672,1,-1.2434481308269638,1.350041361610301,1.2630914906288007,-1.417859231613627,1
10,0.30073491183857837,-0.4797344462559387,-0.6692089974882877,0.12021573874930666,2,0.3318171516160456,-0.6845834172658679,1.619594874944014,-1.417859231613627,0
9,-0.34461897622704063,-0.4797344462559387,-0.3517664693040868,-1.3027460668547297,0,1.641641861368468,-0.41330011341571204,1.619594874944014,0.8979582148765765,0
7,0.7309708372156577,-0.20434153795746643,-0.5249169392227419,-0.9592725275709968,0,-0.4706231393895259,0.12926649428459966,0.5500847219983742,-1.417859231613627,0
10,-1.4202087896697388,-1.0305202628528833,-1.3040940538566894,-0.46859604287994977,1,-1.4119269046227856,1.553503839497918,-1.5889355838929056,-1.417859231613627,2
6,-1.6353267523582786,-1.0305202628528833,-1.3040940538566894,0.9543657627240866,2,-0.09634932974409076,0.7396539279474503,-0.5194254309472657,-1.417859231613627,2
8,0.515852874527118,1.7234088201318394,1.5528886998011187,0.8071628173167725,1,1.180083444043122,-0.006375157640478262,0.9065881063135874,-0.25995050836852523,0
10,1.5914426879698165,-0.4797344462559387,-0.9231630200356484,0.9543657627240866,0,-1.028390841467203,0.5361914500598335,-1.2324321995776923,-0.838904869991076,2
1,0.9460887999041974,1.7234088201318394,1.0767249075248173,0.07114809028020196,2,0.7655184799864221,-0.41330011341571204,-0.875928815262479,-0.25995050836852523,0
2,0.9460887999041974,0.8972300952364226,0.3624792191103654,-0.07605485512711214,0,-0.02496597884963463,-1.5662541547788744,-0.16292204663205243,-0.838904869991076,0
4,-0.9899728642926596,-1.0305202628528833,-1.3040940538566894,0.6599598719094584,0,1.2081937153263873,1.485683013535379,-0.5194254309472657,0.31900385325402564,0
7,0.7309708372156577,0.07105137034100585,-0.26519123434475916,-0.3704607459417404,2,0.9058869824989787,0.12926649428459966,1.2630914906288007,1.4769125764991273,1
7,0.7309708372156577,0.6218371869379504,0.25426017541120577,-1.253678418385625,1,-0.42436813457840883,-0.41330011341571204,-1.2324321995776923,0.8979582148765765,1
7,1.3763247252812767,0.8972300952364226,0.12439732297221462,1.1015687081314007,0,-0.4977839769416825,-0.8202250691909458,-0.875928815262479,-1.417859231613627,2
2,1.3763247252812767,0.6218371869379504,-0.07967287371762888,0.21835103568751607,1,1.560778238847832,-1.0915083730411017,0.9065881063135874,-1.417859231613627,0
4,1.3763247252812767,1.4480159118333673,0.5325377163519016,0.4146216295639349,0,-0.9917286337615083,-0.2776584614906341,-1.2324321995776923,1.4769125764991273,2
5,-0.9899728642926596,-1.0305202628528833,-1.3040940538566894,-1.0574078245092062,2,0.48722187129238026,0.33272897217221653,1.2630914906288007,0.8979582148765765,2
5,1.1612067625927371,1.7234088201318394,0.8935849874185476,-0.07605485512711214,0,-0.19127160432758578,-0.9558667211160238,-0.5194254309472657,-1.417859231613627,1
1,0.515852874527118,0.6218371869379504,0.41009559833799536,0.46368927803303955,2,-0.49004785024376113,1.214399709685223,-0.5194254309472657,0.8979582148765765,2
7,0.9460887999041974,1.172623003534895,0.6005611152485159,1.5922451928224477,1,1.3387865668297523,-0.20983763552809515,-0.16292204663205243,1.4769125764991273,2
7,-0.77485490160412,-0.7551273545544109,-0.5898483654422374,-0.7139342852254733,0,1.51723791122344,-0.8202250691909458,0.9065881063135874,0.31900385325402564,2
6,-1.2050908269811993,-0.4797344462559387,1.5528886998011187,0.022080441811097255,2,1.0567484859508978,0.6718331019849113,0.9065881063135874,-0.25995050836852523,2
